permno,adate,qdate,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER
15720,2020-12-31,2021-09-30,2021-11-30,32.478,0.062,0.208,0.075,0.047,3.225,3.333,0.584,EIX
15720,2020-12-31,2021-09-30,2021-12-31,33.955,0.062,0.208,0.075,0.047,3.225,3.333,0.584,EIX
15720,2020-12-31,2021-09-30,2022-01-31,31.239,0.062,0.208,0.075,0.047,3.225,3.333,0.584,EIX
15720,2021-12-31,2021-12-31,2022-02-28,31.710,0.062,0.200,0.072,0.047,3.202,3.047,0.638,EIX
15720,2021-12-31,2021-12-31,2022-03-31,35.050,0.062,0.200,0.072,0.047,3.202,3.047,0.638,EIX
15720,2021-12-31,2021-12-31,2022-04-30,34.395,0.062,0.200,0.072,0.047,3.202,3.047,0.638,EIX
15720,2021-12-31,2022-03-31,2022-05-31,45.693,0.049,0.203,0.076,0.039,3.227,3.377,0.644,EIX
15720,2021-12-31,2022-03-31,2022-06-30,41.333,0.049,0.203,0.076,0.039,3.227,3.377,0.644,EIX
15720,2021-12-31,2022-03-31,2022-07-31,44.294,0.049,0.203,0.076,0.039,3.227,3.377,0.644,EIX
15720,2021-12-31,2022-06-30,2022-08-31,51.341,0.042,0.195,0.076,0.036,3.260,3.263,0.638,EIX
15720,2021-12-31,2022-06-30,2022-09-30,42.864,0.042,0.195,0.076,0.036,3.260,3.263,0.638,EIX
15720,2021-12-31,2022-06-30,2022-10-31,45.485,0.042,0.195,0.076,0.036,3.260,3.263,0.638,EIX
15720,2021-12-31,2022-09-30,2022-11-30,35.270,0.056,0.179,0.073,0.047,3.279,2.808,0.617,EIX
15720,2021-12-31,2022-09-30,2022-12-31,33.661,0.056,0.179,0.073,0.047,3.279,2.808,0.617,EIX
15720,2021-12-31,2022-09-30,2023-01-31,36.455,0.056,0.179,0.073,0.047,3.279,2.808,0.617,EIX
15720,2022-12-31,2022-12-31,2023-02-28,41.381,0.048,0.179,0.074,0.042,3.454,2.526,0.683,EIX
15720,2022-12-31,2022-12-31,2023-03-31,44.119,0.048,0.179,0.074,0.042,3.454,2.526,0.683,EIX
15720,2022-12-31,2022-12-31,2023-04-30,46.000,0.048,0.179,0.074,0.042,3.454,2.526,0.683,EIX
15720,2022-12-31,2023-03-31,2023-05-31,30.831,0.061,0.180,0.075,0.054,3.407,2.412,0.680,EIX
15720,2022-12-31,2023-03-31,2023-06-30,31.712,0.061,0.180,0.075,0.054,3.407,2.412,0.680,EIX
15720,2022-12-31,2023-03-31,2023-07-31,32.858,0.061,0.180,0.075,0.054,3.407,2.412,0.680,EIX
15720,2022-12-31,2023-06-30,2023-08-31,27.762,0.068,0.183,0.075,0.059,3.470,2.231,0.733,EIX
15720,2022-12-31,2023-06-30,2023-09-30,25.520,0.068,0.183,0.075,0.059,3.470,2.231,0.733,EIX
15720,2022-12-31,2023-06-30,2023-10-31,25.427,0.068,0.183,0.075,0.059,3.470,2.231,0.733,EIX
15720,2022-12-31,2023-09-30,2023-11-30,20.869,0.087,0.192,0.074,0.073,3.501,2.083,0.791,EIX
15720,2022-12-31,2023-09-30,2023-12-31,22.271,0.087,0.192,0.074,0.073,3.501,2.083,0.791,EIX
15720,2022-12-31,2023-09-30,2024-01-31,21.022,0.087,0.192,0.074,0.073,3.501,2.083,0.791,EIX
15720,2023-12-31,2023-12-31,2024-02-29,21.871,0.086,0.201,0.074,0.070,3.556,1.951,0.792,EIX
15720,2023-12-31,2023-12-31,2024-03-31,22.743,0.086,0.201,0.074,0.070,3.556,1.951,0.792,EIX
15720,2023-12-31,2023-12-31,2024-04-30,22.849,0.086,0.201,0.074,0.070,3.556,1.951,0.792,EIX
15720,2023-12-31,2024-03-31,2024-05-31,33.855,0.067,0.207,0.076,0.054,3.590,2.008,0.854,EIX
15720,2023-12-31,2024-03-31,2024-06-30,31.634,0.067,0.207,0.076,0.054,3.590,2.008,0.854,EIX
15720,2023-12-31,2024-03-31,2024-07-31,35.247,0.067,0.207,0.076,0.054,3.590,2.008,0.854,EIX
15720,2023-12-31,2024-06-30,2024-08-31,34.952,0.071,0.215,0.078,0.059,3.653,2.026,0.900,EIX
15720,2023-12-31,2024-06-30,2024-09-30,34.976,0.071,0.215,0.078,0.059,3.653,2.026,0.900,EIX
15720,2023-12-31,2024-06-30,2024-10-31,33.092,0.071,0.215,0.078,0.059,3.653,2.026,0.900,EIX
15720,2023-12-31,2024-09-30,2024-11-30,25.658,0.090,0.213,0.079,0.076,3.682,2.018,0.921,EIX
15720,2023-12-31,2024-09-30,2024-12-31,23.345,0.090,0.213,0.079,0.076,3.682,2.018,0.921,EIX
16309,2015-12-31,2016-09-30,2016-11-30,6.329,0.092,0.297,0.217,0.061,2.869,22.003,1.717,TTD
16309,2015-12-31,2016-09-30,2016-12-31,6.588,0.092,0.297,0.217,0.061,2.869,22.003,1.717,TTD
16309,2015-12-31,2016-09-30,2017-01-31,7.062,0.092,0.297,0.217,0.061,2.869,22.003,1.717,TTD
16309,2016-12-31,2016-12-31,2017-02-28,81.173,0.101,0.283,0.164,0.175,2.270,24.739,1.501,TTD
16309,2016-12-31,2016-12-31,2017-03-31,71.635,0.101,0.283,0.164,0.175,2.270,24.739,1.501,TTD
16309,2016-12-31,2016-12-31,2017-04-30,71.827,0.101,0.283,0.164,0.175,2.270,24.739,1.501,TTD
16309,2016-12-31,2017-03-31,2017-05-31,8.462,0.117,0.248,0.145,0.170,2.180,30.236,1.645,TTD
16309,2016-12-31,2017-03-31,2017-06-30,7.709,0.117,0.248,0.145,0.170,2.180,30.236,1.645,TTD
16309,2016-12-31,2017-03-31,2017-07-31,8.202,0.117,0.248,0.145,0.170,2.180,30.236,1.645,TTD
16309,2016-12-31,2017-06-30,2017-08-31,6.019,0.150,0.241,0.155,0.235,1.872,34.016,1.654,TTD
16309,2016-12-31,2017-06-30,2017-09-30,6.990,0.150,0.241,0.155,0.235,1.872,34.016,1.654,TTD
16309,2016-12-31,2017-06-30,2017-10-31,7.491,0.150,0.241,0.155,0.235,1.872,34.016,1.654,TTD
16309,2016-12-31,2017-09-30,2017-11-30,4.865,0.159,0.231,0.144,0.260,1.903,37.669,1.595,TTD
16309,2016-12-31,2017-09-30,2017-12-31,4.528,0.159,0.231,0.144,0.260,1.903,37.669,1.595,TTD
16309,2016-12-31,2017-09-30,2018-01-31,4.800,0.159,0.231,0.144,0.260,1.903,37.669,1.595,TTD
16309,2017-12-31,2017-12-31,2018-02-28,48.922,0.165,0.225,0.115,0.248,2.246,38.725,1.477,TTD
16309,2017-12-31,2017-12-31,2018-03-31,43.148,0.165,0.225,0.115,0.248,2.246,38.725,1.477,TTD
16309,2017-12-31,2017-12-31,2018-04-30,44.496,0.165,0.225,0.115,0.248,2.246,38.725,1.477,TTD
16309,2017-12-31,2018-03-31,2018-05-31,6.898,0.161,0.227,0.140,0.265,1.950,38.725,1.535,TTD
16309,2017-12-31,2018-03-31,2018-06-30,7.565,0.161,0.227,0.140,0.265,1.950,38.725,1.535,TTD
16309,2017-12-31,2018-03-31,2018-07-31,6.800,0.161,0.227,0.140,0.265,1.950,38.725,1.535,TTD
16309,2017-12-31,2018-06-30,2018-08-31,11.442,0.146,0.221,0.136,0.241,1.945,38.725,1.508,TTD
16309,2017-12-31,2018-06-30,2018-09-30,12.170,0.146,0.221,0.136,0.241,1.945,38.725,1.508,TTD
16309,2017-12-31,2018-06-30,2018-10-31,9.964,0.146,0.221,0.136,0.241,1.945,38.725,1.508,TTD
16309,2017-12-31,2018-09-30,2018-11-30,9.824,0.156,0.209,0.130,0.256,1.834,38.725,1.512,TTD
16309,2017-12-31,2018-09-30,2018-12-31,8.004,0.156,0.209,0.130,0.256,1.834,38.725,1.512,TTD
16309,2017-12-31,2018-09-30,2019-01-31,9.840,0.156,0.209,0.130,0.256,1.834,38.725,1.512,TTD
16309,2018-12-31,2018-12-31,2019-02-28,102.885,0.185,0.225,0.124,0.275,1.833,69.241,1.480,TTD
16309,2018-12-31,2018-12-31,2019-03-31,103.099,0.185,0.225,0.124,0.275,1.833,69.241,1.480,TTD
16309,2018-12-31,2018-12-31,2019-04-30,115.354,0.185,0.225,0.124,0.275,1.833,69.241,1.480,TTD
16309,2018-12-31,2019-03-31,2019-05-31,10.355,0.174,0.201,0.131,0.275,1.677,69.241,1.538,TTD
16309,2018-12-31,2019-03-31,2019-06-30,11.864,0.174,0.201,0.131,0.275,1.677,69.241,1.538,TTD
16309,2018-12-31,2019-03-31,2019-07-31,13.714,0.174,0.201,0.131,0.275,1.677,69.241,1.538,TTD
16309,2018-12-31,2019-06-30,2019-08-31,11.816,0.174,0.194,0.128,0.267,1.609,69.241,1.566,TTD
16309,2018-12-31,2019-06-30,2019-09-30,9.017,0.174,0.194,0.128,0.267,1.609,69.241,1.566,TTD
16309,2018-12-31,2019-06-30,2019-10-31,9.654,0.174,0.194,0.128,0.267,1.609,69.241,1.566,TTD
16309,2018-12-31,2019-09-30,2019-11-30,12.909,0.160,0.179,0.118,0.234,1.622,69.241,1.589,TTD
16309,2018-12-31,2019-09-30,2019-12-31,12.734,0.160,0.179,0.118,0.234,1.622,69.241,1.589,TTD
16309,2018-12-31,2019-09-30,2020-01-31,13.195,0.160,0.179,0.118,0.234,1.622,69.241,1.589,TTD
16309,2019-12-31,2019-12-31,2020-02-29,126.542,0.164,0.170,0.093,0.215,1.822,,1.558,TTD
16309,2019-12-31,2019-12-31,2020-03-31,85.022,0.164,0.170,0.093,0.215,1.822,,1.558,TTD
16309,2019-12-31,2019-12-31,2020-04-30,128.890,0.164,0.170,0.093,0.215,1.822,,1.558,TTD
16309,2019-12-31,2020-03-31,2020-05-31,12.266,0.174,0.167,0.103,0.236,1.658,,1.689,TTD
16309,2019-12-31,2020-03-31,2020-06-30,16.004,0.174,0.167,0.103,0.236,1.658,,1.689,TTD
16309,2019-12-31,2020-03-31,2020-07-31,17.769,0.174,0.167,0.103,0.236,1.658,,1.689,TTD
16309,2019-12-31,2020-06-30,2020-08-31,19.486,0.176,0.102,0.062,0.207,1.620,,1.788,TTD
16309,2019-12-31,2020-06-30,2020-09-30,21.003,0.176,0.102,0.062,0.207,1.620,,1.788,TTD
16309,2019-12-31,2020-06-30,2020-10-31,22.933,0.176,0.102,0.062,0.207,1.620,,1.788,TTD
16309,2019-12-31,2020-09-30,2020-11-30,30.859,0.193,0.124,0.070,0.219,1.601,,1.802,TTD
16309,2019-12-31,2020-09-30,2020-12-31,27.432,0.193,0.124,0.070,0.219,1.601,,1.802,TTD
16309,2019-12-31,2020-09-30,2021-01-31,26.233,0.193,0.124,0.070,0.219,1.601,,1.802,TTD
16309,2020-12-31,2020-12-31,2021-02-28,162.705,0.290,0.172,0.076,0.298,1.718,,1.567,TTD
