,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
12291,49154,2016-12-31,13.253,0.046,0.073,0.187,0.242,2.241,8.427,1.086,TGT,2016,69495.0,4.62
12292,49154,2017-01-31,11.831,0.046,0.073,0.187,0.242,2.241,8.427,1.086,TGT,2017,71879.0,5.35
12293,49154,2017-02-28,10.783,0.046,0.073,0.187,0.242,2.241,8.427,1.086,TGT,2017,71879.0,5.35
12294,49154,2017-03-31,12.05,0.038,0.072,0.187,0.209,2.417,8.261,0.944,TGT,2017,71879.0,5.35
12295,49154,2017-04-30,12.194,0.038,0.072,0.187,0.209,2.417,8.261,0.944,TGT,2017,71879.0,5.35
12296,49154,2017-05-31,12.041,0.038,0.072,0.187,0.209,2.417,8.261,0.944,TGT,2017,71879.0,5.35
12297,49154,2017-06-30,10.894,0.039,0.069,0.186,0.221,2.374,8.172,0.986,TGT,2017,71879.0,5.35
12298,49154,2017-07-31,11.806,0.039,0.069,0.186,0.221,2.374,8.172,0.986,TGT,2017,71879.0,5.35
12299,49154,2017-08-31,11.36,0.039,0.069,0.186,0.221,2.374,8.172,0.986,TGT,2017,71879.0,5.35
12300,49154,2017-09-30,11.921,0.04,0.067,0.186,0.231,2.412,8.113,0.955,TGT,2017,71879.0,5.35
12301,49154,2017-10-31,11.927,0.04,0.067,0.186,0.231,2.412,8.113,0.955,TGT,2017,71879.0,5.35
12302,49154,2017-11-30,12.101,0.04,0.067,0.186,0.231,2.412,8.113,0.955,TGT,2017,71879.0,5.35
12303,49154,2017-12-31,13.708,0.038,0.063,0.182,0.222,2.455,7.998,0.941,TGT,2017,71879.0,5.35
12304,49154,2018-01-31,15.803,0.038,0.063,0.182,0.222,2.455,7.998,0.941,TGT,2018,75356.0,5.54
12305,49154,2018-02-28,15.842,0.038,0.063,0.182,0.222,2.455,7.998,0.941,TGT,2018,75356.0,5.54
12306,49154,2018-03-31,13.051,0.041,0.06,0.177,0.242,2.331,7.705,0.952,TGT,2018,75356.0,5.54
12307,49154,2018-04-30,13.647,0.041,0.06,0.177,0.242,2.331,7.705,0.952,TGT,2018,75356.0,5.54
12308,49154,2018-05-31,13.701,0.041,0.06,0.177,0.242,2.331,7.705,0.952,TGT,2018,75356.0,5.54
12309,49154,2018-06-30,14.096,0.04,0.056,0.172,0.244,2.459,7.864,0.933,TGT,2018,75356.0,5.54
12310,49154,2018-07-31,14.941,0.04,0.056,0.172,0.244,2.459,7.864,0.933,TGT,2018,75356.0,5.54
12311,49154,2018-08-31,16.204,0.04,0.056,0.172,0.244,2.459,7.864,0.933,TGT,2018,75356.0,5.54
12312,49154,2018-09-30,15.557,0.041,0.056,0.172,0.255,2.512,8.257,0.908,TGT,2018,75356.0,5.54
12313,49154,2018-10-31,14.75,0.041,0.056,0.172,0.255,2.512,8.257,0.908,TGT,2018,75356.0,5.54
12314,49154,2018-11-30,12.515,0.041,0.056,0.172,0.255,2.512,8.257,0.908,TGT,2018,75356.0,5.54
12315,49154,2018-12-31,11.07,0.043,0.055,0.167,0.266,2.58,8.454,0.872,TGT,2018,75356.0,5.54
12316,49154,2019-01-31,12.228,0.043,0.055,0.167,0.266,2.58,8.454,0.872,TGT,2019,78112.0,6.39
12317,49154,2019-02-28,12.168,0.043,0.055,0.167,0.266,2.58,8.454,0.872,TGT,2019,78112.0,6.39
